Gene,log2FC,padj,meanTPM_Effector,meanTPM_Exhausted,linear_fold_change,significant,therapeutic_priority
Pdcd1,4.20528278385186,1.30502740361971e-91,20.3806042676541,413.833372074994,18.446596927211047,True,18.446596927211047
Ctla4,2.94200485568777,4.7849431252280695e-36,7.33810463810534,63.0247037025018,7.684784776312725,True,7.684784776312725
Lag3,4.66006434949835,8.90799105812696e-71,6.42695091194607,169.390656058361,25.282449644604355,True,25.282449644604355
Tigit,3.57009809566041,5.02715913757912e-36,10.5887236064507,142.499371405282,11.876996110726623,True,11.876996110726623
Tox,3.4238229944408,3.99243590892598e-64,9.80409167456495,119.084376093864,10.731821021455485,True,10.731821021455485
Nr4a1,4.91488730520546,5.34734666581005e-60,1.85506036856927,61.5790448579885,30.166748609558347,True,30.166748609558347
Nr4a2,6.20348571239296,7.00102456343564e-122,0.36542671629705,24.5042323910468,73.69453402064546,True,73.69453402064546
Nr4a3,2.74516831582137,1.5356905828657802e-15,0.227300081782092,1.87187156562068,6.704679250800747,True,6.704679250800747
Tcf7,-0.207274044314504,0.562429008338934,258.757151006253,237.308510081238,0.8661723087057932,False,0.0
Tbx21,-1.19208910979058,0.0003267484369412,23.5640459082138,10.3807923268848,0.437668630884015,True,0.437668630884015
Eomes,-0.783124899301701,0.0017278665492943,9.04367495719157,5.46059859465614,0.5811067430792501,True,0.5811067430792501
Spp1,9.03797137252357,7.20832770049237e-169,0.196424582970657,111.223053167454,525.6546167119049,True,525.6546167119049
Klrg1,-7.22872343891134,1.60201339775315e-17,98.7504255410477,0.646055698231859,0.006667106836979061,True,0.006667106836979061
