gene,log2FC,padj,meanTPM_effector,meanTPM_dysfunction
Pdcd1,4.20528278385186,1.30502740361971e-91,20.3806042676541,413.833372074994
Havcr2,0.305061376458144,0.662178358768968,2.41038084370437,4.90037899192506
Lag3,4.66006434949835,8.90799105812696e-71,6.42695091194607,169.390656058361
Tigit,3.57009809566041,5.02715913757912e-36,10.5887236064507,142.499371405282
Ctla4,2.94200485568777,4.7849431252280695e-36,7.33810463810534,63.0247037025018
Tox,3.4238229944408,3.99243590892598e-64,9.80409167456495,119.084376093864
Tcf7,-0.207274044314504,0.562429008338934,258.757151006253,237.308510081238
Id2,-3.67618861439821,2.8126032086342696e-36,1645.02106809674,141.601008366699
Prdm1,-1.19960592381909,0.0989696117817742,3.08951775004513,0.861654233584045
Eomes,-0.783124899301701,0.0017278665492943,9.04367495719157,5.46059859465614
Tbx21,-1.19208910979058,0.0003267484369412,23.5640459082138,10.3807923268848
Klrg1,-7.22872343891134,1.60201339775315e-17,98.7504255410477,0.646055698231859
